DAY 1---WORKSPACE SETUP
Paretic,30%max (SL1)
Paretic,0%max (SL0)
Paretic,practice ball-in-bowl
Nonparetic,30%max (SL1)
Nonparetic,0%max (SL0)
Nonparetic,practice ball-in-bowl
DAY 1---BALL-IN-BOWL
Set 1
Arm,Supportlevel,Frequency,trial
Nonparetic,2.0,1.0,1
Nonparetic,2.0,1.0,2
Nonparetic,2.0,1.0,3
Nonparetic,2.0,1.0,4
Nonparetic,2.0,1.0,5
Nonparetic,1.0,1.0,6
Nonparetic,1.0,1.0,7
Nonparetic,1.0,1.0,8
Nonparetic,1.0,1.0,9
Nonparetic,1.0,1.0,10
Nonparetic,2.0,0.0,11
Nonparetic,2.0,0.0,12
Nonparetic,2.0,0.0,13
Nonparetic,2.0,0.0,14
Nonparetic,2.0,0.0,15
Nonparetic,1.0,3.0,16
Nonparetic,1.0,3.0,17
Nonparetic,1.0,3.0,18
Nonparetic,1.0,3.0,19
Nonparetic,1.0,3.0,20
Mandatory 5min break + switch arms
Paretic,2.0,2.0,21
Paretic,2.0,2.0,22
Paretic,2.0,2.0,23
Paretic,2.0,2.0,24
Paretic,2.0,2.0,25
Paretic,2.0,0.0,26
Paretic,2.0,0.0,27
Paretic,2.0,0.0,28
Paretic,2.0,0.0,29
Paretic,2.0,0.0,30
Paretic,1.0,1.0,31
Paretic,1.0,1.0,32
Paretic,1.0,1.0,33
Paretic,1.0,1.0,34
Paretic,1.0,1.0,35
Paretic,1.0,2.0,36
Paretic,1.0,2.0,37
Paretic,1.0,2.0,38
Paretic,1.0,2.0,39
Paretic,1.0,2.0,40
Set 2
Mandatory 5min break + switch arms
Arm,Supportlevel,Frequency,trial
Nonparetic,2.0,2.0,41
Nonparetic,2.0,2.0,42
Nonparetic,2.0,2.0,43
Nonparetic,2.0,2.0,44
Nonparetic,2.0,2.0,45
Nonparetic,1.0,0.0,46
Nonparetic,1.0,0.0,47
Nonparetic,1.0,0.0,48
Nonparetic,1.0,0.0,49
Nonparetic,1.0,0.0,50
Nonparetic,1.0,2.0,51
Nonparetic,1.0,2.0,52
Nonparetic,1.0,2.0,53
Nonparetic,1.0,2.0,54
Nonparetic,1.0,2.0,55
Nonparetic,2.0,3.0,56
Nonparetic,2.0,3.0,57
Nonparetic,2.0,3.0,58
Nonparetic,2.0,3.0,59
Nonparetic,2.0,3.0,60
Mandatory 5min break + switch arms
Paretic,1.0,3.0,61
Paretic,1.0,3.0,62
Paretic,1.0,3.0,63
Paretic,1.0,3.0,64
Paretic,1.0,3.0,65
Paretic,2.0,1.0,66
Paretic,2.0,1.0,67
Paretic,2.0,1.0,68
Paretic,2.0,1.0,69
Paretic,2.0,1.0,70
Paretic,2.0,3.0,71
Paretic,2.0,3.0,72
Paretic,2.0,3.0,73
Paretic,2.0,3.0,74
Paretic,2.0,3.0,75
Paretic,1.0,0.0,76
Paretic,1.0,0.0,77
Paretic,1.0,0.0,78
Paretic,1.0,0.0,79
Paretic,1.0,0.0,80


DAY 2
Nonparetic,practice ball-in-bowl
Paretic,practice ball-in-bowl
DAY 2---BALL-IN-BOWL
Set 1
Arm,Supportlevel,Frequency,trial
Paretic,1.0,0.0,81
Paretic,1.0,0.0,82
Paretic,1.0,0.0,83
Paretic,1.0,0.0,84
Paretic,1.0,0.0,85
Paretic,2.0,1.0,86
Paretic,2.0,1.0,87
Paretic,2.0,1.0,88
Paretic,2.0,1.0,89
Paretic,2.0,1.0,90
Paretic,2.0,0.0,91
Paretic,2.0,0.0,92
